# Time-averaged data for fix PressAve
# TimeStep c_P
9990000 121.789
10000000 43.1919
10010000 2.88718
10020000 2.9457
10030000 -133.675
10040000 -44.6941
10050000 192.947
10060000 -31.5561
10070000 -90.0806
10080000 86.9284
10090000 113.722
10100000 0.504748
10110000 98.61
10120000 48.8312
10130000 103.727
10140000 251.055
10150000 186.435
10160000 -5.90973
10170000 157.436
10180000 113.276
10190000 -115.897
10200000 -86.5702
10210000 -76.04
10220000 140.33
10230000 209.89
10240000 -30.5214
10250000 86.7183
10260000 84.8286
10270000 -51.4763
10280000 -117.532
10290000 -107.734
10300000 -85.308
10310000 4.46656
10320000 -141.966
10330000 -50.2011
10340000 25.3905
10350000 -29.623
10360000 64.7522
10370000 187.554
10380000 85.8478
10390000 -92.8169
10400000 -73.7603
10410000 130.87
10420000 10.6016
10430000 39.0267
10440000 34.5461
10450000 22.3223
10460000 154.072
10470000 -146.234
10480000 114.801
10490000 -143.43
10500000 60.4058
10510000 -14.4851
10520000 20.4864
10530000 -61.386
10540000 83.8129
10550000 -6.86983
10560000 20.3001
10570000 29.3599
10580000 -57.1306
10590000 -23.8156
10600000 32.5293
10610000 -74.9881
10620000 -51.5413
10630000 -83.7788
10640000 -229.057
10650000 -4.52958
10660000 -74.7162
10670000 102.665
10680000 180.899
10690000 -8.6308
10700000 52.3628
10710000 19.4362
10720000 70.1179
10730000 -14.4019
10740000 8.71532
10750000 -130.911
10760000 89.5035
10770000 64.0172
10780000 75.96
10790000 177.595
10800000 -81.9617
10810000 91.1882
10820000 155.966
10830000 -51.8586
10840000 -43.3351
10850000 25.186
10860000 -16.5555
10870000 22.0448
10880000 101.287
10890000 -30.327
10900000 84.1262
10910000 120.071
10920000 10.2277
10930000 -23.1693
10940000 -75.5554
10950000 68.5375
10960000 85.5963
10970000 104.336
10980000 131.507
10990000 -42.7016
11000000 202.506
11010000 194.997
11020000 107.304
11030000 -14.6127
11040000 45.4262
11050000 51.2715
11060000 77.448
11070000 21.1848
11080000 147.993
11090000 174.599
11100000 -8.96751
11110000 -5.37254
11120000 32.894
11130000 -148.682
11140000 11.817
11150000 -32.6422
11160000 22.4266
11170000 -76.4838
11180000 98.2888
11190000 -42.3911
11200000 -9.89014
11210000 16.501
11220000 63.8909
11230000 24.4252
11240000 166.468
11250000 116.283
11260000 69.9799
11270000 34.3934
11280000 93.1315
11290000 5.8137
11300000 45.2486
11310000 116.145
11320000 89.0622
11330000 13.4634
11340000 22.6934
11350000 -33.5966
11360000 91.056
11370000 199.009
11380000 161.457
11390000 102.503
11400000 21.7097
11410000 79.7212
11420000 152.212
11430000 -51.1191
11440000 202.161
11450000 172.339
11460000 29.6514
11470000 173.807
11480000 114.719
11490000 47.5375
11500000 195.161
11510000 42.6513
11520000 193.006
11530000 -26.7365
11540000 103.047
11550000 -32.9729
11560000 -16.2037
11570000 223.193
11580000 267.614
11590000 87.9059
11600000 -61.7842
11610000 177.643
11620000 170.398
11630000 -132.462
11640000 -8.07496
11650000 -31.7288
11660000 13.9924
11670000 -0.744574
11680000 34.737
11690000 215.684
11700000 -135.548
11710000 181.622
11720000 -18.8965
11730000 -21.5994
11740000 -217.644
11750000 -101.896
11760000 -85.2995
11770000 64.9274
11780000 169.144
11790000 -11.0374
11800000 -72.9247
11810000 -164.841
11820000 -22.681
11830000 64.6006
11840000 -103.395
11850000 -8.90408
