# Time-averaged data for fix PEAve
# TimeStep v_PotEn
3270000 -18707.4
3280000 -18751
3290000 -18708.5
3300000 -18710
3310000 -18720.8
3320000 -18722.1
3330000 -18702.8
3340000 -18693.2
3350000 -18721.9
3360000 -18720.1
3370000 -18688.3
3380000 -18701.2
3390000 -18723.6
3400000 -18707.3
3410000 -18691.5
3420000 -18719
3430000 -18700.2
3440000 -18731.2
3450000 -18721.3
3460000 -18697.4
3470000 -18703.6
3480000 -18702.6
3490000 -18735.7
3500000 -18692.8
3510000 -18727.4
3520000 -18730.1
3530000 -18714
3540000 -18713.1
3550000 -18685.9
3560000 -18687.9
3570000 -18681.2
3580000 -18720.7
3590000 -18692.4
3600000 -18669.3
3610000 -18696.1
3620000 -18689.6
3630000 -18697.2
3640000 -18710.2
3650000 -18710.1
3660000 -18759.7
3670000 -18711.4
3680000 -18706.6
3690000 -18703.3
3700000 -18722.8
3710000 -18712.4
3720000 -18690.8
3730000 -18718.3
3740000 -18667.3
3750000 -18703.9
3760000 -18733.1
3770000 -18747.7
3780000 -18751.6
3790000 -18703.5
3800000 -18692.8
3810000 -18729.6
3820000 -18654.4
3830000 -18682
3840000 -18683
3850000 -18718.7
3860000 -18701.6
3870000 -18698.8
3880000 -18709.8
3890000 -18662.5
3900000 -18716.3
3910000 -18721.2
3920000 -18693.3
3930000 -18728.2
3940000 -18717.9
3950000 -18690.9
3960000 -18691.4
3970000 -18727.7
3980000 -18731.2
3990000 -18718.5
4000000 -18704
4010000 -18688.6
4020000 -18695.7
4030000 -18718.2
4040000 -18708.5
4050000 -18653.6
4060000 -18681.3
4070000 -18669.4
4080000 -18694.4
4090000 -18693.6
4100000 -18691.3
4110000 -18689.4
4120000 -18694.9
4130000 -18708.5
4140000 -18720.3
4150000 -18709.7
4160000 -18723.4
